KUNNR,KTOKD,NAME1,NAME2,LAND1,ORT01,PSTLZ,REGIO,STRAS,TELF1,SMTP_ADDR,BUKRS,VKORG,VTWEG,SPART,WAERS,ZTERM,STCD1,TAXKD,ERDAT
1001,kuna," Infosys Technologies Ltd ",,India," Bengaluru ",560100,ka," Electronics City Phase 1 ","+91-80-28520261"," sales@infosys.com ",1000,1000," 10 "," 00 ",Rupee,NET30,AABC-I0932G,1,20260201
1002,KUNA,Tata Consultancy Services,,in,Mumbai,400051,mh,"TCS House Raveline Street","+91 22 67789999",procurement@tcs.com,1000,1000,10,00,rupees,"Net 45",AAAC-T2727Q,1,20260202
1003,KUNA,Wipro Limited,,INDIA,Hyderabad,500081,ts," Sarjapur Road ","+91.40.28440011",vendor@wipro.com,1000,1000,10,00,INR,"30 DAYS",aaacw0737b,1,20260203
1004,kuna,HCL Technologies Ltd,,United States,Noida,201301,up,"Plot No 3A Sector 126","+91-120-6125000",info@hcl.com,1000,1000,10,00,Dollar,NET60,AABC-H0209G,1,20260204
1005,KUNA,Tech Mahindra Limited,,us,Pune,411001,mh,"Gateway Building Senapati Road","+91 (20) 6660 1234",sales@techmahindra.com,1000,1000,10,00,usd,NET 30,AABC-T1174H,1,20260205
1006,KUNA,Accenture Solutions Pvt Ltd,,United Kingdom,Bengaluru,560100,ka,"Divyasree Technopolis Yarrabanda","+91-80-40640000",india@accenture.com,1000,1000,10,00,pound,45 DAYS,AABC-A0099G,1,20260206
1007,KUNA,IBM India Pvt Ltd,,UK,Bengaluru,560045,ka,"Manyata Tech Park","+91-80-26780000"," india@ibm.com ",1000,1000,10,00,sterling,NET45,AAACI3037M,1,20260207
1008,KUNA,Larsen Toubro Infotech,,Germany,Mumbai,400709,mh,"Saki Naka Technology Centre","+91-22-67761000",lti@lntinfotech.com,1000,1000,10,00,Euro,NET 60,AAACL2345P,1,20260208
1009,KUNA,Mphasis Limited,,de,Bengaluru,560071,ka,"Bagmane World Technology Centre","+91-80-33664400",info@mphasis.com,1000,1000,10,00,eur,60 DAYS,AABCM4256Q,1,20260209
1010,KUNA,Capgemini Technology Services,,France,Pune,411014,mh,"Talwade IT Park","+91-20-66006000",accounts@capgemini.com,1000,1000,10,00,EUROS,NET15,AACC-F1111Z,1,20260210
